variable,mu_c,CI_c_lower,CI_c_upper
381,29051.8049897147,28658.76378033513,29444.846199094267
382,29047.94837135414,28651.717759736453,29444.178982971836
383,29018.050789220477,28611.295289002785,29424.80628943817
384,29008.82985695139,28600.164139136108,29417.49557476667
385,28953.94776082842,28578.77410366929,29329.121417987553
386,28929.567738510552,28549.423231223653,29309.71224579745
387,28939.950597328796,28572.40108268477,29307.500111972837
388,28931.01129255709,28550.560324950544,29311.462260163644
389,28899.527320955687,28522.46189789838,29276.592744012993
390,28891.47252687635,28526.66528429422,29256.27976945848
391,28864.11954177544,28506.725015498516,29221.51406805237
392,28833.413119018674,28459.551250150646,29207.274987886703
393,28770.615648797822,28373.41763268222,29167.813664913425
394,28728.481679872544,28332.092745800524,29124.870613944564
395,28728.235071457384,28326.681003551315,29129.789139363453
396,28659.93415834032,28269.411847442043,29050.4564692386
397,28657.67519004762,28271.1321202163,29044.21825987895
398,28613.859573348975,28218.653269207603,29009.065877490346
399,28595.025000798705,28196.882658490784,28993.167343106627
400,28588.092012698802,28182.147590888653,28994.03643450896
401,28575.95996945203,28169.181280607623,28982.738658296435
402,28564.630162515237,28167.87982081108,28961.380504219404
403,28580.28414811105,28171.665058284194,28988.90323793791
404,28582.710505169165,28179.102347827495,28986.31866251083
405,28585.37608545837,28178.5817730336,28992.170397883136
406,28575.451360496998,28161.342365007506,28989.56035598649
407,28563.267808650147,28155.887404502493,28970.648212797794
408,28487.568723051332,28042.41651082997,28932.7209352727
409,28457.871143543583,28021.206907940174,28894.535379146993
410,28429.253575684135,27981.913069483086,28876.594081885185
411,28414.72979389099,27946.27015951934,28883.18942826264
412,28355.917719343914,27925.661162289736,28786.174276398084
413,28332.128387120967,27901.625490545277,28762.631283696657
414,28285.601977520866,27860.29233476293,28710.91162027881
415,28279.22009202431,27850.03329932057,28708.40688472804
416,28261.08816895623,27833.87183787136,28688.3045000411
417,28260.700982297876,27830.08848229594,28691.31348229981
418,28257.428481534822,27823.35561386603,28691.501349203612
419,28240.1581367148,27791.58683516399,28688.7294382656
420,28206.51197452829,27773.89123049493,28639.132718561643
421,28198.787593185614,27762.207580474995,28635.367605896226
422,28211.692039270587,27776.02657767912,28647.357500862046
423,28183.97552506071,27740.341726281957,28627.609323839468
424,28167.446916666304,27740.247657732747,28594.64617559986
425,28130.159302211912,27690.02173317322,28570.296871250604
426,28111.515611648167,27670.221487023016,28552.809736273317
427,28030.391734447672,27568.112602885605,28492.67086600974
428,28000.134153656763,27516.89365775663,28483.374649556896
429,27969.52549447943,27496.41106550352,28442.63992345534
430,27950.5113799911,27472.235874939393,28428.786885042817
431,27915.985598552918,27422.91960005803,28409.051597047797
432,27895.215242832153,27401.94454426983,28388.485941394476
433,27882.127236702618,27395.959804424234,28368.294668981
434,27879.437191609228,27384.926287296734,28373.948095921714
435,27863.18365165653,27367.378305861086,28358.988997451983
436,27827.271270954596,27313.527826489786,28341.014715419406
437,27800.525700634924,27256.84362533991,28344.207775929946
438,27784.753654782977,27237.626276355015,28331.88103321094
439,27779.507493627872,27239.390793584127,28319.624193671625
440,27727.483721873385,27175.944309579958,28279.02313416682
441,27705.562166571417,27161.91668024877,28249.207652894063
442,27644.097313393464,27058.260260668227,28229.93436611871
443,27617.61242901693,27016.366184120496,28218.858673913368
444,27613.202135342377,27009.568541215467,28216.835729469287
445,27592.26122458079,26981.698988505654,28202.823460655927
446,27552.19674657018,26963.738328830277,28140.65516431008
447,27541.86756932393,26942.679397688902,28141.05574095896
448,27545.376353669628,26914.959713124364,28175.79299421489
449,27539.202149913497,26922.100472240116,28156.30382758687
450,27550.809436274893,26928.652861441253,28172.966011108532
451,27531.34214687185,26919.56870340173,28143.115590341982
452,27531.34214687185,26919.56870340173,28143.115590341982
453,27504.968003406757,26893.814847934886,28116.12115887863
454,27476.807314504535,26872.986061923322,28080.62856708574
455,27474.492779163094,26871.969494761757,28077.016063564424
456,27479.18372886939,26881.48257936798,28076.88487837079
457,27454.540674997093,26878.898375470333,28030.182974523854
458,27364.305530178488,26784.847647547325,27943.763412809658
459,27348.60224954471,26773.888926419473,27923.315572669948
460,27317.73969500484,26728.82075655395,27906.65863345572
461,27309.159971068417,26716.232106919648,27902.08783521718
462,27297.269066828114,26706.54883013223,27887.989303524
463,27281.287089016507,26680.65981905329,27881.914358979724
464,27265.21031296755,26669.098134346397,27861.322491588693
465,27259.10007531474,26660.532064812316,27857.66808581716
466,27263.78863914074,26664.69945492602,27862.877823355455
467,27251.285756248784,26659.53802778515,27843.033484712418
468,27230.35601630195,26641.7966082386,27818.9154243653
469,27218.682012645564,26615.122234796952,27822.241790494176
470,27180.213415138893,26550.023095875593,27810.403734402185
471,27176.30157352941,26547.86787390033,27804.73527315849
472,27176.31907923929,26547.952208636394,27804.685949842176
473,27176.657875121833,26548.061501920558,27805.25424832311
474,27155.80760408822,26534.41426234847,27777.200945827968
475,27156.32346227257,26535.131384283974,27777.51554026117
476,27148.564115482848,26525.616394277087,27771.51183668861
477,27138.748472508738,26520.44246175769,27757.054483259784
478,27123.917981455186,26504.57380479587,27743.26215811451
479,27102.977019117017,26493.92200398278,27712.032034251253
480,27069.236017145635,26493.249002996818,27645.223031294445
481,27026.692841793578,26425.945918344743,27627.43976524242
482,27008.439316365417,26418.91310285602,27597.965529874815
483,27001.79364767195,26423.234071415838,27580.353223928058
484,27007.295035628238,26426.900440122532,27587.689631133944
485,26956.035773036456,26405.31723968396,27506.75430638895
486,26937.602111118464,26407.50886773958,27467.69535449734
487,26888.66516147538,26352.144247834807,27425.18607511596
488,26883.548292718137,26347.501074978907,27419.595510457366
489,26891.02014720131,26353.78522134038,27428.255073062235
490,26857.8657307054,26315.9054556382,27399.826005772604
491,26844.617710028855,26291.529963757635,27397.705456300075
492,26840.708384500984,26292.093592337314,27389.323176664653
493,26832.15028392765,26278.56830620068,27385.732261654623
494,26809.864652484095,26249.236238982245,27370.493065985946
495,26808.86075224776,26248.996055626234,27368.72544886929
496,26800.563687266433,26236.353405792743,27364.77396874013
497,26801.15235669074,26234.442593158936,27367.862120222548
498,26783.782380335717,26225.113379089853,27342.45138158158
499,26775.518870631055,26219.581750097925,27331.455991164177
500,26759.643076759716,26199.32765961856,27319.95849390088
501,26738.167174786304,26189.087701349177,27287.24664822343
502,26703.140289197,26148.883302423263,27257.397275970736
503,26710.41668752026,26152.784615287834,27268.04875975268
504,26695.48893762695,26128.85550344039,27262.1223718135
505,26668.03361705963,26107.33610844518,27228.731125674083
506,26661.799728702557,26096.335836102622,27227.2636213025
507,26658.764932706013,26088.464419741536,27229.065445670498
508,26650.368425090583,26076.51885138302,27224.217998798144
509,26649.28178311075,26073.39087739547,27225.172688826027
510,26636.86404755358,26071.359688258566,27202.368406848593
511,26601.22029593669,26029.39672605117,27173.04386582222
512,26576.125480019535,26003.42560832339,27148.825351715688
513,26521.652519683354,25921.637990238014,27121.667049128693
514,26492.66969864785,25883.811269994047,27101.52812730166
515,26486.83292993086,25874.792654179368,27098.873205682354
516,26455.30828222384,25860.33761855852,27050.278945889153
517,26453.98325664128,25859.593180617347,27048.373332665215
518,26417.122991302054,25826.56423237255,27007.68175023155
519,26409.030516299208,25817.882839124308,27000.17819347411
520,26389.53889694337,25785.917466230152,26993.160327656595
521,26384.32162958381,25789.968200453393,26978.675058714234
522,26384.7902866959,25790.517943287567,26979.062630104243
523,26371.6266376385,25776.49465713542,26966.758618141586
524,26368.5393791931,25771.239680213934,26965.83907817227
525,26353.192268088038,25752.27157806491,26954.112958111175
526,26349.09362104911,25745.936979436472,26952.250262661753
527,26329.076359322633,25728.947567954525,26929.20515069075
528,26285.79576025653,25720.07131672368,26851.52020378938
529,26272.523160875942,25716.18110678395,26828.865214967933
530,26269.928810805784,25707.557401886566,26832.300219724995
531,26242.062358549705,25674.182769648025,26809.941947451385
532,26218.460437694943,25650.22018886653,26786.700686523363
533,26186.382894923223,25625.58052614109,26747.185263705363
